Who is Sharon Stone,no,yes
Who is Leonardo Da Vinci,no,yes
Who is Michelle Obama,no,yes
Who is Drake,no,yes
Who is Emmanuel Macron,no,no
Who is Nathalie Portman,no,yes
What artist performed Colours,no,yes
oezifjzijef oijfiozejf oijoiezjf,no,no
Who is Obom,yes,yes
Who is Obam,no,no
Who is Obama,yes,yes
what movie is produced by warner bros,no,no
who is michael nyman's daughter?,no,no
who are daughter of obama?,yes,yes
Who was born in aldershot?,no,no
what is a silent film?,yes,yes
what film is a type of drama?,yes,no
what is the official website of tom cruise,yes,yes
who is obama ?,yes,yes
